system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00050] PathFindOnPath found: C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.11821] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.11835] added dtor for object 005B8888, func 685627D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.11960] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.11962] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11983] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11984] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11985] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11987] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11988] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11989] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11990] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11991] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11993] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.11994] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.11995] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.11997] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.11998] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.12010] added dtor for object 005BA0A8, func 685627D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.12137] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.12140] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.12153] added dtor for object 005B9078, func 68562711
dtor     D               dtor.c:184  _al_register_destructor          [   0.12155] added dtor for object 005B91F8, func 68562711
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.14990] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.14996] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.15023] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.15025] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.15044] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.15046] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.15063] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.15065] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.94127] removed dtor for object 005B2F78
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.94131] removed dtor for object 005B3048
bitmap   D             bitmap.c:864  _al_convert_to_memory_bitmap     [   7.94135] converting display bitmap 005BA0A8 to memory bitmap
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   7.94164] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   7.94166] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:864  _al_convert_to_memory_bitmap     [   7.94175] converting display bitmap 005B8888 to memory bitmap
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   7.94202] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   7.94203] _al_d3d_sync_bitmap (video) ref count == 1
